Season,Site,Transect,Transect #,Achnanthes (Karayevia) amoena,Amphora acutiuscula (vmsp3),Amphora coffeaeformis aponina,Amphora (Halamphora) punctata,Amphora sulcata,Amphora veneta,Brachysira aponina,Brachysira cf. aponina,Brachysira microcephela,Caponea caribbea,Cyclotella distinguenda,Diploneis oblongella,Diploneis parma,Diploneis vmsp1,Encyonema evergladianum,Encyonema mesianum,Encyonema silesiacum elegans,Encyonema sjsp03,Encyonopsis microcephela,Envekadea metezeltinii,Envekadea vanlandinghamii,Fragilaria ftsp16,Fragilaria minuscula,Fragilaria nanana,Fragilaria synegrotesca,Gomphonema intricatum vibrio,Kobayasiella parasubtilissima,Kobayasiella subtilissima,Mastogloia asperuloides,Mastogloia braunii,Mastogloia calcarea,Mastogloia lanceolata,Mastogloia pseduosmithii,Navicula bulnheimii,Navicula cryptotenella (vmsp7),Navicula duerrenbergiana,Navicula lenzii,Navicula radiosa,Navicula salinarum,Navicula salinicola,Nitzschia acicularis,Nitzschia ftsp16,Nitzschia microcephela,Nitzscia microcephela cf (wider),Nitzschia nana,Nitzschia palea debilis,Nitzschia cf scalaris,Nitzschia serpentiraphe,Parlibellus pandelriformis,Pinnularia major,Pleurosigma salinarum,Pleurosira vmsp1,Sellaphora laevissima,Sellaphora stoermii,Seminavis eulenstenii,Seminavis pusilla,Seminavis witkowskii,Stauroneis phoenicentron,Stephanocyclus (cyclotella) meneghiniana,Synedra filiformis exilis
Dry2014,MPR_10,MPR,1,0,0,0,0,0,0,0,0,0.043,0,0,0,0,0,0.159,0,0,0,0.023,0,0,0.287,0.062,0,0.054,0.002,0.004,0.012,0,0,0.023,0.012,0.004,0,0,0,0,0,0,0.023,0,0.093,0,0,0.004,0.031,0.004,0.004,0,0,0,0,0,0,0,0.039,0,0,0.039,0.012
Dry2014,MPR_11,MPR,1,0,0,0,0,0.078,0,0,0,0.213,0.004,0,0.006,0,0,0.202,0,0,0,0,0,0,0,0,0,0.054,0,0,0.039,0,0,0.171,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0.19,0,0,0,0,0,0,0,0.004,0,0.002,0,0,0,0
Dry2014,MPR_12,MPR,1,0,0,0,0,0.002,0,0,0,0.004,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0.004,0.074,0,0,0,0,0,0.207,0.02,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0.211,0,0,0,0,0,0,0,0,0,0.082,0,0,0,0.016
Dry2014,MPR_13,MPR,1,0,0,0,0.004,0,0,0,0,0.002,0.002,0,0.027,0.004,0,0,0,0,0,0,0.002,0,0.004,0.002,0,0.035,0,0,0,0,0,0.283,0.004,0,0,0,0,0,0,0,0,0,0.163,0,0,0.004,0.062,0,0,0,0,0,0,0,0,0,0.369,0,0,0,0.023
Dry2014,SAL_1N,SAL1,2,0,0,0,0,0,0,0,0,0.111,0.008,0,0,0.004,0,0.543,0,0,0.019,0.008,0,0,0,0,0,0,0,0,0,0,0,0.222,0,0,0,0.004,0,0,0.004,0,0,0,0,0,0,0,0.065,0,0.008,0,0,0,0,0.004,0,0,0,0,0,0,0
Dry2014,SAL_1C,SAL1,2,0,0,0,0,0,0,0,0,0.105,0.005,0,0,0,0,0.581,0.018,0,0,0.002,0,0,0.009,0,0.005,0,0,0,0.014,0,0,0.188,0,0,0,0.005,0,0,0.002,0,0,0,0.002,0,0,0,0.023,0,0.023,0,0,0,0,0.014,0,0,0,0,0,0,0
Dry2014,SAL_1S,SAL1,2,0,0,0,0,0,0,0,0,0.179,0,0,0.004,0,0,0.564,0.016,0,0,0.012,0,0,0,0,0,0.002,0,0,0,0,0,0.074,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0.136,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0
Dry2014,SAL_1SS1,SAL1,2,0,0,0,0,0,0,0,0,0.131,0,0,0,0,0,0.282,0.024,0,0,0.008,0,0,0,0,0.002,0.183,0.016,0.004,0.004,0,0,0.239,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.048,0,0.024,0,0,0,0,0,0,0,0,0,0,0,0
Dry2014,SAL_1SS2,SAL1,2,0,0,0,0,0.146,0,0,0,0.027,0,0,0,0,0,0.246,0.008,0,0,0,0,0,0.008,0,0,0.231,0.004,0,0,0,0,0.204,0.008,0,0,0,0,0,0.002,0,0.008,0,0.019,0,0,0,0.081,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0
Dry2014,SAL_2N,SAL2,4,0,0,0,0,0.042,0,0,0,0.053,0,0,0,0,0,0.597,0.049,0,0.008,0,0,0,0.011,0,0,0.045,0,0,0.008,0,0,0.023,0.004,0,0,0,0,0,0.004,0,0,0,0.008,0,0,0,0.125,0,0,0,0,0,0,0.015,0,0,0,0,0,0.008,0
Dry2014,SAL_2C,SAL2,4,0,0,0,0,0.037,0,0,0,0.086,0.004,0,0,0,0,0.246,0.007,0,0,0.011,0.007,0,0.011,0,0,0.004,0.004,0,0,0,0,0.287,0.037,0,0,0,0,0,0,0,0,0,0.101,0,0,0,0.142,0,0.011,0,0,0,0,0,0,0,0,0,0,0,0
Dry2014,SAL_2S,SAL2,4,0,0,0,0,0.012,0,0,0,0.008,0.004,0,0,0.008,0,0.02,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.539,0.027,0,0,0.004,0,0,0,0,0,0,0.355,0,0,0.004,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0.012,0
Dry2014,SAL_2SS1,SAL2,4,0,0,0,0,0.03,0,0,0,0.011,0,0,0,0.002,0,0.045,0,0,0,0,0,0,0.226,0,0.004,0.079,0,0,0,0,0,0.305,0.094,0,0,0,0,0,0,0,0,0,0.143,0.004,0,0,0.03,0,0,0,0,0,0,0,0,0,0.011,0,0,0,0.011
Dry2014,SAL_3N,SAL3,5,0,0,0,0,0.014,0,0,0,0.129,0.003,0,0.007,0.003,0,0.178,0,0,0,0.01,0,0,0.225,0,0.007,0.003,0,0,0.007,0,0,0.042,0.017,0,0,0.01,0,0,0.003,0,0,0,0.279,0,0,0,0.014,0,0.003,0,0,0,0,0,0,0,0.024,0,0,0.017,0
Dry2014,SAL_3C,SAL3,5,0,0,0,0,0.023,0,0,0,0.031,0,0,0.004,0,0,0.211,0,0,0.023,0,0.031,0,0.031,0,0,0.002,0,0,0,0,0,0.352,0.031,0,0,0,0,0,0,0,0,0,0.105,0,0,0,0.07,0,0.016,0,0,0,0,0.008,0,0,0.051,0,0.008,0,0
Dry2014,SAL_3S,SAL3,5,0,0,0,0,0.035,0,0,0,0.079,0.004,0,0.012,0.012,0,0.366,0.008,0,0.008,0.002,0,0,0,0,0,0.039,0,0,0.004,0,0,0.059,0,0,0,0,0,0,0.016,0,0,0,0.016,0,0,0,0.185,0,0.016,0,0,0,0,0.012,0,0,0.118,0,0,0.008,0
Dry2014,SAL_4N,SAL4,6,0,0,0,0,0,0,0,0,0.039,0,0,0.007,0.007,0,0.229,0.092,0,0.065,0,0,0,0,0,0,0,0,0,0,0,0,0.399,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0.052,0.092,0,0,0,0,0,0.007,0,0,0,0,0,0,0
Dry2014,SAL_4C,SAL4,6,0,0,0,0.008,0.075,0,0.067,0,0.067,0.043,0,0,0.008,0,0.055,0,0,0,0,0,0,0.039,0,0,0.004,0,0,0,0,0,0.02,0.035,0,0,0.004,0,0,0,0.016,0.012,0,0.319,0,0,0,0.047,0,0.004,0,0,0,0,0,0,0.004,0.063,0.024,0,0.051,0.002
Dry2014,SAL_4S,SAL4,6,0,0.004,0,0.007,0.004,0.004,0.074,0,0.074,0.03,0.004,0.026,0.002,0,0.015,0,0,0,0,0.022,0.009,0.045,0.03,0,0,0,0,0,0,0.002,0.007,0.011,0,0,0.019,0.004,0,0,0.037,0.067,0,0.037,0,0,0,0.011,0,0,0,0,0,0,0,0,0.011,0.004,0.26,0,0.022,0.015
Dry2014,SAL_5W,SAL5,7,0,0,0,0,0.004,0,0,0,0.103,0.004,0,0.012,0.012,0,0.3,0.004,0.028,0.004,0,0,0,0.004,0.008,0,0.008,0,0,0,0,0,0.359,0.016,0,0,0,0,0,0,0,0,0,0.028,0,0,0,0.028,0,0.063,0,0,0,0,0,0.004,0,0,0,0,0.012,0
Dry2014,SAL_5N,SAL5,7,0,0,0,0,0.019,0,0.043,0,0.05,0.004,0.004,0.023,0.008,0,0.12,0,0,0,0,0.043,0.043,0.023,0,0,0.031,0,0,0,0,0.006,0.17,0.062,0,0,0.004,0,0,0,0,0,0,0.089,0,0,0,0.015,0,0,0,0,0,0,0,0,0.012,0.12,0.019,0,0.085,0
Dry2014,SAL_5C,SAL5,7,0,0.004,0,0.039,0.012,0.02,0.158,0,0.002,0.004,0.02,0.012,0.012,0,0,0,0,0,0,0.047,0.004,0.201,0.067,0,0.012,0,0,0,0.004,0.02,0.004,0.085,0,0,0.004,0,0,0,0.008,0.02,0,0.071,0,0,0,0.024,0,0,0,0,0,0,0,0,0.008,0.016,0.02,0.024,0.036,0
Dry2014,SAL_5S,SAL5,7,0,0.004,0,0.008,0.008,0.016,0.307,0,0,0.004,0.016,0.008,0.008,0,0.019,0,0,0,0,0.008,0,0.012,0.008,0,0,0,0,0,0.008,0.002,0,0.027,0,0,0.054,0,0,0,0,0.109,0,0.12,0.008,0,0,0,0,0,0.023,0,0,0,0,0,0.004,0.004,0.023,0,0.016,0.113
Dry2014,SAL_6N,SAL6,3,0,0,0,0,0,0.01,0,0,0.01,0,0,0,0.01,0,0.565,0.062,0,0.081,0,0,0,0.005,0,0,0,0.01,0,0,0,0,0.029,0,0,0,0,0,0,0,0.019,0,0,0,0.014,0,0,0.163,0,0,0,0,0,0,0.01,0,0,0,0.002,0,0.005,0
Dry2014,SAL_6S,SAL6,3,0,0,0,0,0.026,0,0,0,0.075,0.002,0,0.007,0,0,0.258,0.015,0.004,0,0.002,0,0,0.011,0,0,0.224,0.004,0,0,0,0,0.191,0.004,0,0,0,0,0,0,0,0,0,0.067,0,0,0,0.071,0,0.011,0,0,0,0,0,0,0,0,0,0,0.019,0
Dry2014,SAL_6SS1,SAL6,3,0,0,0,0,0.031,0,0,0,0.004,0.002,0,0,0.006,0,0.237,0,0,0,0,0,0,0.117,0,0,0.016,0,0,0,0,0.008,0.245,0.074,0.004,0,0,0.004,0,0,0,0,0,0.093,0,0,0,0.132,0,0,0,0,0,0,0,0,0,0.016,0,0,0.008,0
Dry2014,SAL_6SS2,SAL6,3,0,0,0,0,0.004,0,0,0,0.015,0,0,0.004,0,0,0.068,0,0,0,0,0,0,0.008,0,0,0.053,0.002,0,0,0,0,0.125,0.053,0,0,0,0,0,0,0,0,0,0.616,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0.034,0,0,0,0
Wet2014,MPR_0,MPR,1,0,0,0,0,0,0,0,0,0.353,0,0,0.008,0.008,0,0.302,0.004,0,0,0,0,0,0,0,0,0.008,0.008,0,0.008,0,0,0.119,0,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0.111,0,0.056,0,0,0,0,0.004,0,0,0,0,0,0,0
Wet2014,MPR_1,MPR,1,0.012,0,0,0,0,0,0,0,0.039,0,0,0.004,0.004,0,0.318,0.12,0.002,0,0.027,0,0,0,0,0,0,0,0,0.008,0,0,0.081,0,0,0,0.058,0,0,0.002,0,0,0,0,0,0,0,0.287,0,0.031,0,0,0,0,0.004,0,0,0,0,0,0,0
Wet2014,MPR_2,MPR,1,0,0,0,0,0,0,0,0,0.191,0,0,0.027,0.002,0,0.333,0.034,0.011,0,0.002,0,0,0.004,0.002,0,0.004,0.015,0,0.061,0,0,0.061,0,0,0,0.05,0,0,0.004,0,0.008,0,0,0,0,0,0.168,0,0.008,0,0,0,0,0.004,0.004,0,0,0,0,0.004,0
Wet2014,MPR_3,MPR,1,0,0,0,0,0,0,0,0,0.135,0,0,0,0,0,0.532,0.015,0.012,0.006,0.015,0,0,0,0,0,0.023,0,0,0.012,0,0,0.035,0,0,0,0.023,0,0,0,0,0,0,0,0,0,0,0.17,0,0.012,0,0,0,0,0.008,0,0,0,0,0,0.004,0
Wet2014,MPR_4,MPR,1,0,0,0,0,0,0,0,0,0.066,0,0,0.004,0.004,0,0.478,0.081,0,0.035,0.019,0,0,0,0,0,0,0,0,0.004,0,0,0.077,0,0.004,0,0.012,0,0,0,0,0,0,0,0,0,0,0.185,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0
Wet2014,MPR_5,MPR,1,0,0,0,0,0,0,0,0,0.081,0,0,0,0,0,0.536,0,0.004,0.004,0.012,0,0,0.004,0,0,0.008,0.008,0,0,0,0,0.308,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0.039,0,0.092,0,0,0,0,0,0,0,0,0,0,0.004,0
Wet2014,MPR_6,MPR,1,0,0,0,0,0,0,0,0,0.036,0,0,0,0,0,0.603,0,0.004,0.012,0.004,0,0,0,0,0,0.012,0.004,0,0,0,0,0.258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012,0,0.056,0,0,0,0,0,0,0,0,0,0,0,0
Wet2014,MPR_7,MPR,1,0,0,0,0,0,0,0,0,0.122,0,0,0,0,0,0.525,0,0,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0
Wet2014,MPR_8,MPR,1,0,0,0,0,0,0,0,0,0.066,0,0,0,0.004,0,0.609,0.004,0,0.004,0,0,0,0,0,0,0.008,0,0,0,0,0,0.136,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0.012,0,0.147,0,0,0,0,0,0,0,0,0,0,0,0
Wet2014,MPR_9,MPR,1,0,0,0,0,0,0,0,0,0.004,0,0,0.004,0.008,0,0.083,0.047,0,0,0.002,0,0,0,0,0,0.071,0.008,0,0,0,0,0.731,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0.002,0.008,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0
Wet2014,MPR_10,MPR,1,0,0,0,0,0,0,0,0,0.089,0,0,0.004,0.004,0,0.004,0,0,0,0.031,0,0,0.403,0.004,0,0.066,0,0,0,0,0.002,0.171,0.078,0.019,0,0,0,0,0,0,0,0,0.008,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0.004,0,0,0.019,0.002
Wet2014,MPR_11,MPR,1,0.004,0,0,0,0.12,0,0,0,0.025,0,0,0.004,0.004,0,0.066,0,0,0,0,0,0,0.012,0,0,0.207,0.004,0,0.008,0,0,0.402,0.029,0,0,0,0,0,0,0,0,0,0.033,0,0,0,0.037,0,0,0,0,0,0,0,0,0,0.025,0,0,0.008,0
Wet2014,MPR_12,MPR,1,0,0,0,0,0,0,0,0,0.027,0.004,0,0.038,0.006,0,0,0,0,0,0.002,0,0.004,0.015,0,0,0.498,0,0,0,0,0,0.268,0.042,0,0,0,0,0,0,0,0,0,0.027,0,0,0.004,0.011,0,0,0,0,0,0,0,0,0,0.027,0,0,0.023,0
Wet2014,MPR_13,MPR,1,0,0.004,0,0,0.002,0,0,0,0.004,0,0,0.008,0.004,0,0,0,0,0,0,0,0,0.017,0.008,0,0.173,0.017,0,0,0,0,0.653,0,0,0,0,0,0,0,0,0,0,0.029,0.008,0,0.025,0.008,0,0,0,0,0,0,0,0,0,0.034,0,0,0,0
Wet2014,SAL_1N,SAL1,2,0,0,0,0,0,0,0,0,0.146,0.004,0,0.008,0.004,0,0.408,0.008,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0.173,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0.115,0,0.108,0,0,0,0,0.019,0,0,0,0,0,0,0
Wet2014,SAL_1C,SAL1,2,0,0,0,0,0,0,0,0,0.107,0.004,0,0,0,0,0.46,0.004,0,0.004,0.015,0,0,0,0,0,0,0,0,0,0,0,0.215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.092,0,0,0,0,0,0,0,0,0,0,0,0
Wet2014,SAL_1S,SAL1,2,0,0,0,0,0,0,0,0,0.032,0,0,0.012,0,0,0.664,0.004,0,0.02,0.002,0,0,0,0,0,0,0,0,0,0,0,0.164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052,0,0.044,0,0,0,0,0.004,0,0,0,0,0,0,0
Wet2014,SAL_1SS1,SAL1,2,0,0,0,0,0,0,0,0,0.046,0.004,0,0,0,0,0.568,0.008,0,0.004,0.008,0,0,0,0,0,0.142,0.01,0,0,0,0,0.157,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0.042,0,0.004,0,0,0,0,0,0,0,0,0,0,0.002,0
Wet2014,SAL_1SS2,SAL1,2,0,0,0,0,0.055,0,0,0,0.187,0,0,0.002,0.004,0,0.152,0,0,0,0,0,0,0.004,0,0,0.07,0,0,0.004,0,0,0.378,0.008,0.002,0,0,0,0,0,0,0,0,0.019,0,0,0,0.109,0,0,0,0,0,0,0.002,0,0,0,0,0,0.004,0
Wet2014,SAL_2N,SAL2,4,0.002,0,0,0,0.015,0,0,0,0.188,0,0,0.027,0,0,0.387,0.004,0,0,0,0,0,0,0,0,0.023,0,0,0.008,0,0,0.226,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0.077,0,0.015,0,0,0,0,0,0,0,0.027,0,0,0,0
Wet2014,SAL_2C,SAL2,4,0,0,0,0,0.012,0,0,0,0.213,0.008,0,0.004,0.002,0,0.15,0,0,0,0,0,0,0.004,0,0,0,0.004,0,0,0,0,0.398,0.02,0,0,0,0,0,0,0,0,0,0.028,0,0,0,0.142,0,0,0,0,0,0,0.008,0,0,0.004,0,0,0.004,0
Wet2014,SAL_2S,SAL2,4,0,0,0,0,0.106,0,0,0,0.098,0.004,0,0.004,0.002,0,0.348,0,0,0,0,0,0,0.02,0,0,0,0,0,0.004,0,0,0.137,0.008,0,0,0,0,0,0,0,0,0,0.188,0,0,0,0.055,0,0,0,0.004,0,0,0,0,0,0.004,0,0,0.016,0
Wet2014,SAL_2SS1,SAL2,4,0,0,0,0,0.088,0,0,0,0.183,0.008,0,0.027,0.004,0,0.034,0,0,0,0,0,0.011,0.084,0.004,0,0.11,0,0,0,0,0,0.015,0.053,0,0,0,0,0,0,0.004,0,0,0.05,0,0,0,0.29,0,0,0,0,0,0,0,0,0.002,0.004,0,0,0.019,0.008
Wet2014,SAL_3N,SAL3,5,0,0,0,0,0.019,0,0,0,0.155,0,0,0.006,0.004,0,0.342,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0.237,0,0,0,0,0,0,0.012,0,0,0,0,0,0,0,0.12,0,0.016,0,0,0,0,0.004,0,0,0.078,0,0,0,0
Wet2014,SAL_3C,SAL3,5,0,0,0,0,0.031,0,0,0,0.365,0.004,0,0.008,0,0,0.229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078,0.027,0.002,0,0,0,0,0,0,0,0,0.144,0,0,0,0.097,0,0,0,0,0,0,0,0,0,0.012,0,0,0.004,0
Wet2014,SAL_3S,SAL3,5,0,0,0,0,0.043,0,0,0,0.109,0.009,0,0.002,0.002,0,0.109,0,0,0,0,0,0,0.095,0,0,0.014,0,0,0,0,0,0.142,0.005,0,0,0,0,0,0,0,0,0,0.024,0,0,0,0.392,0,0,0,0,0,0,0,0,0,0.038,0,0,0.014,0
Wet2014,SAL_4N,SAL4,6,0,0,0,0,0,0,0,0,0.129,0,0,0.002,0,0,0.364,0.02,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0.309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047,0,0.121,0,0,0,0,0,0,0,0,0,0,0,0
Wet2014,SAL_4C,SAL4,6,0,0,0,0,0.035,0,0,0,0.07,0.012,0,0,0.002,0,0,0,0,0,0,0.002,0,0.008,0,0,0.002,0,0,0,0,0,0.023,0.004,0,0,0,0,0,0,0.004,0.002,0,0.008,0.043,0,0,0.672,0,0,0,0,0,0,0,0,0,0.027,0.002,0,0.078,0
Wet2014,SAL_4S,SAL4,6,0,0.002,0,0,0.056,0,0.004,0,0.272,0.002,0.004,0.009,0,0,0,0,0,0,0,0.004,0.026,0.067,0.011,0,0.052,0,0,0,0,0,0,0.052,0,0,0.004,0,0,0,0.011,0.007,0,0.09,0.06,0,0,0.179,0,0,0,0,0,0,0,0,0,0,0.006,0,0.03,0.041
Wet2014,SAL_5W,SAL5,7,0.008,0,0,0,0.006,0,0,0,0.09,0.015,0.004,0.004,0,0,0.226,0.004,0,0,0,0.006,0,0,0,0,0.008,0,0,0,0,0,0.162,0.056,0,0,0,0,0,0,0,0,0,0.083,0.011,0,0,0.214,0,0.008,0,0,0,0,0,0,0,0.004,0,0,0.086,0
Wet2014,SAL_5N,SAL5,7,0,0,0,0.031,0,0,0,0,0.101,0.002,0,0.019,0.004,0,0.012,0,0,0,0,0.016,0.062,0.016,0.004,0,0.008,0,0,0,0,0,0.004,0.008,0,0,0,0,0,0,0.004,0.004,0,0.07,0.117,0.004,0,0.14,0,0,0,0,0,0,0,0,0,0.324,0.023,0,0.027,0
Wet2014,SAL_5C,SAL5,7,0,0,0,0,0.011,0.008,0,0,0.46,0.004,0.002,0.008,0.008,0,0.004,0,0,0,0,0.015,0,0.023,0.065,0,0.004,0,0,0,0.008,0.002,0,0.034,0,0,0.008,0,0.004,0,0.023,0.011,0,0.038,0.034,0,0,0.008,0,0,0.002,0,0,0,0,0,0,0.011,0.019,0,0.144,0.023
Wet2014,SAL_5S,SAL5,7,0,0,0,0.015,0.004,0,0,0,0.49,0.004,0.004,0.004,0.004,0,0,0,0,0,0,0.019,0,0.015,0.008,0,0,0,0,0,0,0.004,0,0.034,0,0,0.004,0,0,0,0.011,0.019,0,0.019,0.061,0,0,0.065,0,0,0.004,0,0,0,0,0,0.004,0.004,0.046,0,0.13,0.011
Wet2014,SAL_6N,SAL6,3,0,0,0,0,0,0,0,0,0.077,0,0,0.004,0,0,0.594,0.015,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0.038,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0.134,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0
Wet2014,SAL_6S,SAL6,3,0,0,0,0,0.008,0,0,0,0.138,0.002,0,0,0.004,0,0.585,0.004,0,0,0,0,0,0.015,0,0,0.046,0,0,0,0,0,0.115,0.012,0,0,0,0,0,0,0,0,0,0.023,0,0,0,0.035,0,0,0,0.004,0,0,0,0,0,0,0,0,0.002,0
Wet2014,SAL_6SS1,SAL6,3,0,0,0,0,0.023,0,0,0,0.13,0.002,0,0.008,0.004,0,0.195,0,0,0,0,0,0.004,0.046,0,0,0.008,0,0,0,0,0.002,0.092,0.004,0,0,0,0,0,0,0,0,0,0.061,0,0,0,0.332,0,0,0,0,0,0,0,0,0,0.023,0,0,0.069,0
