Season,Site,Transect,Transect#,LAT,LONG,Dist_coast_km,Water_Depth_cm,Soil_Depth_cm,Soil_Type,Mat_Type,SW_Cond_mS.cm,STDEV_SW_Cond_mS.cm,PW_Cond_mS.cm,STDEV_PW_Cond_mS.cm,Peri_Biovol_mL.m2,STDEV_Peri_Biovol_mL.m2,DryWt_g.m2,AFDW_g.m2,AshWt_g.m2,STDEV_DryWt_g.m2,STDEV_AFDW_g.m2,STDEV_AshWt_g.m2,Prcnt_Organic,Prcnt_Mineral,Chla_ug.g.drywt,STDEV_Chla_ug.g.drywt,TP_mcrg.g,STDEV_TP_mcrg.g
Dry2015,SAL_1C,SAL1,2,25.273250,-80.744833,12.01,0.0,17,2,3,0.874,0.021,1.288,0.199,6044.9,2696.5,766.2,200.1,566.0,273.4,103.9,178.1,26.1,73.9,91.7,14.8,92.3,30.9
Dry2015,SAL_1S,SAL1,2,25.262717,-80.747117,10.84,22.0,43,2,1,0.852,0.040,1.333,0.082,11139.9,2120.6,912.4,266.9,645.5,284.2,82.4,201.9,29.3,70.7,142.7,19.4,59.5,31.7
Dry2015,SAL_1SS1,SAL1,2,25.239783,-80.750783,9.77,12.0,77,3,6,1.250,0.148,1.394,0.199,3454.2,747.9,98.1,80.9,17.2,2.2,8.3,6.8,82.5,17.5,328.5,106.3,250.6,35.5
Dry2015,SAL_1SS2,SAL1,2,25.229917,-80.755217,7.76,0.0,101,3,6,-9999,-9999,12.847,2.237,-9999,-9999,28.5,23.0,5.5,1.3,1.4,0.2,23.8,5.7,278.0,138.5,419.5,60.1
Dry2015,SAL_2N,SAL2,4,25.262967,-80.611967,6.94,1.0,76,4,1,4.140,0.353,9.000,1.000,2288.4,326.0,266.7,104.4,162.2,222.3,87.7,139.2,39.2,60.8,130.6,50.2,123.3,40.5
Dry2015,SAL_2C,SAL2,4,25.252583,-80.608533,5.48,11.0,88,2,1,14.047,0.084,16.000,1.300,5526.8,598.3,772.7,180.3,592.4,40.9,15.5,30.8,23.3,76.7,119.1,12.0,93.4,41.1
Dry2015,SAL_2S,SAL2,4,25.241000,-80.604067,4.40,14.0,87,2,1,21.720,0.149,18.000,2.700,6131.3,1645.3,979.2,231.8,747.3,163.4,47.0,121.4,23.7,76.3,134.0,22.6,82.5,17.6
Dry2015,SAL_2SS1,SAL2,4,25.230933,-80.603217,3.15,15.0,101,4,6,41.533,0.306,22.260,1.161,1295.3,0.0,90.4,29.8,60.6,14.3,10.8,3.8,33.0,67.0,231.8,173.4,279.3,48.3
Dry2015,SAL_3N,SAL3,5,25.277750,-80.555683,7.22,10.0,94,4,1,6.430,0.360,9.643,1.318,4749.6,2696.5,678.5,90.6,587.9,448.7,72.0,515.9,13.3,86.7,114.8,25.2,65.9,16.5
Dry2015,SAL_3C,SAL3,5,25.266783,-80.555933,6.01,9.0,77,2,2,32.323,0.105,22.220,5.768,2590.7,0.0,486.7,84.9,401.8,101.7,6.1,102.1,17.5,82.5,91.7,56.2,76.2,21.5
Dry2015,SAL_3S,SAL3,5,25.255467,-80.555683,4.76,23.0,82,2,2,46.933,0.058,24.627,6.536,4317.8,1978.7,1115.6,219.1,896.6,560.7,121.6,439.8,19.6,80.4,62.3,14.5,65.0,10.1
Dry2015,SAL_4N,SAL4,6,25.273283,-80.473467,6.81,0.0,101,2,1,-9999,-9999,1.285,0.268,8635.6,2696.5,1908.4,450.2,1458.2,684.8,165.6,519.3,23.6,76.4,93.1,15.8,68.0,14.5
Dry2015,SAL_4C,SAL4,6,25.252717,-80.470083,4.68,13.0,101,2,2,57.633,0.252,43.443,5.651,1295.3,0.0,394.6,55.1,339.5,40.6,5.3,37.0,14.0,86.0,57.2,29.2,110.1,13.4
Dry2015,SAL_4S,SAL4,6,25.246117,-80.467317,2.91,30.0,101,2,2,43.000,1.500,50.000,4.100,1727.1,747.9,355.3,61.5,293.8,176.9,37.4,139.6,17.3,82.7,87.1,9.4,150.9,22.2
Dry2015,SAL_5W,SAL5,7,25.330117,-80.424617,5.00,0.0,47,4,1,-9999,-9999,19.000,0.600,8549.2,934.1,3229.0,1595.5,1633.5,972.2,2084.9,1566.5,49.4,50.6,85.8,55.2,55.1,14.0
Dry2015,SAL_5N,SAL5,7,25.3167833,-80.40525,2.90,29.0,101,2,2,7.000,0.800,31.000,2.500,1295.3,0.0,268.7,131.6,137.1,17.0,110.1,119.4,49.0,51.0,75.1,8.1,84.2,26.7
Dry2015,SAL_5C,SAL5,7,25.3114167,-80.40125,2.28,15.0,101,2,2,9.000,0.100,45.000,1.800,1943.0,0.0,417.1,78.8,338.3,50.5,12.8,37.9,18.9,81.1,48.2,2.7,56.4,9.4
Dry2015,SAL_5S,SAL5,7,25.306217,-80.402533,1.81,18.0,101,2,2,10.000,0.300,49.000,3.400,2158.9,747.9,530.1,283.6,246.5,194.4,355.0,242.0,53.5,46.5,50.5,13.3,81.1,16.7
Dry2015,SAL_6N,SAL6,3,25.251883,-80.667933,6.79,0.0,84,2,1,-9999,-9999,2.000,0.500,6476.7,1295.3,1668.3,430.2,1238.2,200.0,67.1,133.0,25.8,74.2,121.7,17.2,78.5,11.8
Dry2015,SAL_6S,SAL6,3,25.231183,-80.664467,4.50,0.0,69,4,6,-9999,-9999,13.000,3.400,2590.7,0.0,332.0,164.9,167.2,25.5,145.6,148.1,49.7,50.3,225.9,36.1,234.4,34.9
Dry2015,SAL_6SS1,SAL6,3,25.218750,-80.663617,3.18,23.0,98,2,0,10.000,0.500,15.000,0.400,647.7,0.0,62.2,17.0,45.2,14.9,4.4,10.6,27.4,72.6,340.0,67.4,244.5,63.7
Dry2015,SAL_6SS2,SAL6,3,25.208117,-80.660683,1.98,0.0,101,3,6,19.000,-9999,15.000,1.500,1295.3,0.0,102.9,53.5,49.4,15.9,25.0,12.1,52.0,48.0,420.7,64.9,307.0,46.5
Wet2014,MPR_0,MPR,1,25.335778,-80.804722,17.01,6.0,18,2,1,0.374,0.006,-9999,-9999,8851.5,815.0,932.5,277.6,654.9,89.6,34.7,55.3,29.8,70.2,109.1,55.9,43.7,12.7
Wet2014,MPR_1,MPR,1,25.329583,-80.799417,16.39,4.0,36,2,1,0.333,0.026,-9999,-9999,5937.0,1226.0,542.2,164.1,378.1,141.8,46.2,95.9,30.3,69.7,163.0,36.1,34.8,11.8
Wet2014,MPR_2,MPR,1,25.321750,-80.797778,15.53,15.0,15,2,1,0.319,0.003,-9999,-9999,8009.5,648.7,680.1,232.7,447.5,85.1,20.3,65.0,34.2,65.8,210.9,12.3,33.1,6.6
Wet2014,MPR_3,MPR,1,25.314333,-80.797861,14.71,15.0,10,2,1&2,0.324,0.004,-9999,-9999,5181.3,323.8,338.8,109.8,229.0,135.7,39.6,96.0,32.4,67.6,233.1,56.6,37.0,9.0
Wet2014,MPR_4,MPR,1,25.306917,-80.797861,13.90,12.0,21,2,1,0.291,0.007,-9999,-9999,7880.0,1137.3,685.6,188.6,497.0,235.2,53.1,182.1,27.5,72.5,122.8,79.3,34.9,17.4
Wet2014,MPR_5,MPR,1,25.299778,-80.797944,13.16,18.0,6,2,1,0.297,0.006,-9999,-9999,8203.8,1978.7,631.1,195.8,435.3,213.3,68.3,145.0,31.0,69.0,301.7,41.1,88.1,53.3
Wet2014,MPR_6,MPR,1,25.293250,-80.797667,12.44,29.0,48,2,1,0.403,0.005,-9999,-9999,6260.8,1629.9,305.8,110.6,195.2,81.1,24.3,56.8,36.2,63.8,154.0,54.7,34.8,12.5
Wet2014,MPR_7,MPR,1,25.285833,-80.797861,11.56,20.0,18,2,1,0.463,0.032,-9999,-9999,10362.7,1295.3,395.9,154.3,241.5,74.8,28.6,46.2,39.0,61.0,166.4,83.0,25.5,27.5
Wet2014,MPR_8,MPR,1,25.278639,-80.797917,10.77,30.0,23,2,1,0.451,0.007,-9999,-9999,15975.8,747.9,550.6,223.0,327.7,99.8,30.4,69.6,40.5,59.5,340.4,57.7,68.2,5.5
Wet2014,MPR_9,MPR,1,25.264056,-80.799472,9.15,21.0,73,3,6,0.651,0.008,-9999,-9999,6476.7,1295.3,164.7,139.5,25.2,79.8,69.8,10.0,84.7,15.3,873.6,113.9,335.1,16.3
Wet2014,MPR_10,MPR,1,25.253972,-80.797667,8.09,21.0,101,1,6,2.021,0.009,-9999,-9999,3670.1,989.3,292.0,87.6,204.4,132.3,24.6,108.6,30.0,70.0,510.1,21.6,441.4,75.3
Wet2014,MPR_11,MPR,1,25.240194,-80.809806,6.37,21.0,101,3,6,1.189,0.403,7.543,0.317,1943.0,1295.3,44.5,36.3,8.3,34.7,28.5,6.3,81.4,18.6,665.9,199.3,290.8,100.3
Wet2014,MPR_12,MPR,1,25.230583,-80.825694,7.75,18.0,13,3,6,4.061,0.051,-9999,-9999,2590.7,647.7,81.8,68.3,13.5,28.5,28.1,0.7,83.5,16.5,1073.5,756.1,362.2,62.0
Wet2014,MPR_13,MPR,1,25.223694,-80.837139,5.42,26.0,101,3,6,4.202,0.124,7.143,0.517,2374.8,989.3,55.0,41.5,13.5,55.4,41.5,13.9,75.4,24.6,1552.6,251.4,686.7,131.3
Wet2014,SAL_1N,SAL1,2,25.315200,-80.74263,16.70,27.0,34,2,1,0.512,0.037,1.905,0.799,4965.5,989.3,240.9,85.4,155.5,85.5,19.7,66.9,35.5,64.5,122.5,70.1,24.8,5.6
Wet2014,SAL_1C,SAL1,2,25.273250,-80.744833,12.01,28.0,34,2,1,0.603,0.017,1.283,0.142,6994.8,2120.6,461.8,135.2,326.6,167.5,45.3,122.2,29.3,70.7,205.4,141.5,31.0,10.5
Wet2014,SAL_1S,SAL1,2,25.262717,-80.747117,10.84,37.0,45,2,1,0.539,0.004,1.314,0.024,7772.0,1295.3,852.9,244.4,608.5,466.2,115.3,350.9,28.7,71.3,171.5,57.6,46.7,10.0
Wet2014,SAL_1SS1,SAL1,2,25.239783,-80.750783,9.77,38.0,72,3,6,0.779,0.003,1.143,0.177,1295.3,0.0,40.4,36.3,4.2,12.6,11.1,1.5,89.7,10.3,1051.4,530.5,146.8,46.7
Wet2014,SAL_1SS2,SAL1,2,25.229917,-80.755217,7.76,18.0,101,3,6,1.399,0.081,10.177,2.869,2504.3,1303.9,53.1,46.2,6.8,22.1,19.4,2.7,87.1,12.9,1084.3,197.5,221.8,52.0
Wet2014,SAL_2N,SAL2,4,25.262967,-80.611967,6.94,28.0,63,2,1,0.414,0.020,6.038,3.710,4663.2,1129.2,287.4,113.0,174.4,77.8,28.2,53.6,39.3,60.7,227.4,64.9,40.9,7.4
Wet2014,SAL_2C,SAL2,4,25.252583,-80.608533,5.48,28.0,67,2,1,0.792,0.090,15.657,0.948,6563.0,2595.0,655.8,154.2,501.6,314.7,78.3,237.5,23.5,76.5,241.0,28.5,49.7,10.4
Wet2014,SAL_2S,SAL2,4,25.241000,-80.604067,4.40,28.0,101,2,1,1.281,0.017,14.093,1.938,5181.3,4487.2,524.1,101.0,423.1,517.2,95.5,421.7,19.3,80.7,214.1,22.7,46.8,10.8
Wet2014,SAL_2SS1,SAL2,4,25.230933,-80.603217,3.15,29.0,101,2,1,1.372,0.015,17.720,1.074,-9999,-9999,66.2,21.1,45.1,22.6,6.2,16.5,31.8,68.2,386.8,44.3,61.4,4.9
Wet2014,SAL_3N,SAL3,5,25.277750,-80.555683,7.22,27.0,64,4,1,0.572,0.026,7.483,1.159,10794.5,3739.3,737.0,281.1,455.9,178.7,73.8,105.8,38.1,61.9,213.3,123.5,50.0,18.9
Wet2014,SAL_3C,SAL3,5,25.266783,-80.555933,6.01,26.0,71,4,1,0.855,0.012,14.700,3.051,7772.0,4922.3,820.0,191.5,628.5,491.7,118.5,373.8,23.4,76.6,183.8,68.9,46.0,5.0
Wet2014,SAL_3S,SAL3,5,25.255467,-80.555683,4.76,33.0,77,2,1,1.159,0.010,9.987,2.032,-9999,-9999,106.9,27.3,79.6,27.1,7.9,19.2,25.5,74.5,200.1,74.9,35.9,6.7
Wet2014,SAL_4N,SAL4,6,25.273283,-80.473467,6.81,15.0,101,2,1,0.559,0.006,1.597,0.334,6951.6,1006.1,558.9,161.3,397.6,74.6,18.6,56.0,28.9,71.1,309.3,218.9,44.5,16.9
Wet2014,SAL_4C,SAL4,6,25.252717,-80.470083,4.68,28.0,101,2,1,1.965,0.028,21.280,9.558,-9999,-9999,83.0,27.1,55.9,9.7,4.5,5.6,32.7,67.3,229.0,19.1,75.1,4.8
Wet2014,SAL_4S,SAL4,6,25.246117,-80.467317,2.91,39.0,101,2,1,10.117,0.061,22.840,4.281,-9999,-9999,85.7,25.2,60.4,19.9,5.8,14.1,29.5,70.5,153.5,13.2,76.6,8.1
Wet2014,SAL_5W,SAL5,7,25.330117,-80.424617,5.00,18.0,27,2,1,1.729,0.027,13.990,3.606,10362.7,1295.3,816.5,249.1,567.5,294.1,78.5,216.1,30.5,69.5,221.0,51.2,37.8,16.2
Wet2014,SAL_5N,SAL5,7,25.3167833,-80.40525,2.90,24.0,101,2,1,6.300,0.100,29.270,3.933,-9999,-9999,108.6,33.4,75.2,1.1,1.8,1.2,30.7,69.3,190.8,42.6,46.5,5.3
Wet2014,SAL_5C,SAL5,7,25.3114167,-80.40125,2.28,20.0,101,2,1,13.800,0.100,32.860,4.979,-9999,-9999,162.3,39.2,123.1,15.9,2.2,13.7,24.2,75.8,118.1,25.3,41.2,3.7
Wet2014,SAL_5S,SAL5,7,25.306217,-80.402533,1.81,26.0,101,2,1,6.580,0.114,30.353,10.705,-9999,-9999,194.7,41.8,152.9,30.2,8.6,21.7,21.5,78.5,126.7,34.3,50.9,9.9
Wet2014,SAL_6N,SAL6,3,25.251883,-80.667933,6.79,29.0,70,2,1,0.336,0.008,1.747,0.149,9240.1,3290.6,1056.0,275.9,780.1,546.8,134.6,412.5,26.1,73.9,118.2,29.0,41.7,9.9
Wet2014,SAL_6S,SAL6,3,25.231183,-80.664467,4.50,41.0,68,4,4,0.672,0.071,16.090,3.380,1727.1,747.9,62.1,26.5,35.7,22.9,10.2,14.1,42.6,57.4,353.1,99.3,113.5,43.4
Wet2014,SAL_6SS1,SAL6,3,25.218750,-80.663617,3.18,39.0,73,2,1,2.399,0.016,15.363,2.473,-9999,-9999,18.5,7.6,10.9,2.6,0.7,2.0,41.2,58.8,425.1,59.9,71.6,11.7
Wet2014,SAL_6SS2,SAL6,3,25.208117,-80.660683,1.98,22.0,101,3,6,3.517,0.265,13.403,1.898,1727.1,747.9,58.3,49.5,8.8,14.5,11.9,2.7,84.9,15.1,1063.2,61.3,392.3,55.3
Wet2015,MPR_0,MPR,1,25.335778,-80.804722,17.01,22.0,24,2,1,0.298,0.004,0.244,-9999,5181.3,647.7,504.2,146.4,357.8,177.0,44.7,132.3,29.0,71.0,131.1,85.0,52.3,8.9
