Sampling_Event,Date,Mesocosm,Treatment,Species,Abundance
T3,2016-02-19,18,F,Achnanthes.cf..karayevia..amoena,0.000
T3,2016-02-19,4,FP,Achnanthes.cf..karayevia..amoena,0.000
T3,2016-02-19,19,FP,Achnanthes.cf..karayevia..amoena,0.000
T3,2016-02-19,9,S,Achnanthes.cf..karayevia..amoena,0.000
T3,2016-02-19,13,S,Achnanthes.cf..karayevia..amoena,0.000
T3,2016-02-19,21,S,Achnanthes.cf..karayevia..amoena,0.000
T3,2016-02-19,12,SP,Achnanthes.cf..karayevia..amoena,0.000
T3,2016-02-19,16,SP,Achnanthes.cf..karayevia..amoena,0.000
T3,2016-02-19,23,SP,Achnanthes.cf..karayevia..amoena,0.000
T4,2016-07-10,1,F,Achnanthes.cf..karayevia..amoena,0.000
T4,2016-07-10,6,F,Achnanthes.cf..karayevia..amoena,0.000
T4,2016-07-10,18,F,Achnanthes.cf..karayevia..amoena,0.000
T4,2016-07-10,8,FP,Achnanthes.cf..karayevia..amoena,0.000
T4,2016-07-10,19,FP,Achnanthes.cf..karayevia..amoena,0.000
T4,2016-07-10,9,S,Achnanthes.cf..karayevia..amoena,0.000
T4,2016-07-10,13,S,Achnanthes.cf..karayevia..amoena,0.000
T4,2016-07-10,21,S,Achnanthes.cf..karayevia..amoena,0.000
T4,2016-07-10,11,SP,Achnanthes.cf..karayevia..amoena,0.000
T4,2016-07-10,16,SP,Achnanthes.cf..karayevia..amoena,0.000
T1,2015-05-22,1,F,Achnanthes.minutissima.gracillima,0.000
T1,2015-05-22,17,F,Achnanthes.minutissima.gracillima,0.000
T1,2015-05-22,18,F,Achnanthes.minutissima.gracillima,0.003
T1,2015-05-22,4,FP,Achnanthes.minutissima.gracillima,0.003
T1,2015-05-22,8,FP,Achnanthes.minutissima.gracillima,0.000
T1,2015-05-22,19,FP,Achnanthes.minutissima.gracillima,0.000
T1,2015-05-22,9,S,Achnanthes.minutissima.gracillima,0.000
T1,2015-05-22,14,S,Achnanthes.minutissima.gracillima,0.000
T1,2015-05-22,21,S,Achnanthes.minutissima.gracillima,0.000
T1,2015-05-22,12,SP,Achnanthes.minutissima.gracillima,0.000
T1,2015-05-22,16,SP,Achnanthes.minutissima.gracillima,0.000
T1,2015-05-22,24,SP,Achnanthes.minutissima.gracillima,0.000
T2,2015-08-18,5,F,Achnanthes.minutissima.gracillima,0.000
T2,2015-08-18,6,F,Achnanthes.minutissima.gracillima,0.000
T2,2015-08-18,18,F,Achnanthes.minutissima.gracillima,0.000
T2,2015-08-18,4,FP,Achnanthes.minutissima.gracillima,0.000
T2,2015-08-18,7,FP,Achnanthes.minutissima.gracillima,0.000
T2,2015-08-18,19,FP,Achnanthes.minutissima.gracillima,0.000
T2,2015-08-18,9,S,Achnanthes.minutissima.gracillima,0.000
T2,2015-08-18,10,S,Achnanthes.minutissima.gracillima,0.000
T2,2015-08-18,13,S,Achnanthes.minutissima.gracillima,0.000
T2,2015-08-18,12,SP,Achnanthes.minutissima.gracillima,0.000
T2,2015-08-18,15,SP,Achnanthes.minutissima.gracillima,0.000
T2,2015-08-18,24,SP,Achnanthes.minutissima.gracillima,0.000
T3,2016-02-19,1,F,Achnanthes.minutissima.gracillima,0.000
T3,2016-02-19,6,F,Achnanthes.minutissima.gracillima,0.000
T3,2016-02-19,18,F,Achnanthes.minutissima.gracillima,0.000
T3,2016-02-19,4,FP,Achnanthes.minutissima.gracillima,0.000
T3,2016-02-19,19,FP,Achnanthes.minutissima.gracillima,0.000
T3,2016-02-19,9,S,Achnanthes.minutissima.gracillima,0.000
T3,2016-02-19,13,S,Achnanthes.minutissima.gracillima,0.000
T3,2016-02-19,21,S,Achnanthes.minutissima.gracillima,0.000
T3,2016-02-19,12,SP,Achnanthes.minutissima.gracillima,0.000
T3,2016-02-19,16,SP,Achnanthes.minutissima.gracillima,0.000
T3,2016-02-19,23,SP,Achnanthes.minutissima.gracillima,0.000
T4,2016-07-10,1,F,Achnanthes.minutissima.gracillima,0.000
T4,2016-07-10,6,F,Achnanthes.minutissima.gracillima,0.000
T4,2016-07-10,18,F,Achnanthes.minutissima.gracillima,0.000
T4,2016-07-10,8,FP,Achnanthes.minutissima.gracillima,0.000
T4,2016-07-10,19,FP,Achnanthes.minutissima.gracillima,0.000
T4,2016-07-10,9,S,Achnanthes.minutissima.gracillima,0.000
T4,2016-07-10,13,S,Achnanthes.minutissima.gracillima,0.000
T4,2016-07-10,21,S,Achnanthes.minutissima.gracillima,0.000
T4,2016-07-10,11,SP,Achnanthes.minutissima.gracillima,0.000
T4,2016-07-10,16,SP,Achnanthes.minutissima.gracillima,0.000
T1,2015-05-22,1,F,Achnanthes.minutissima,0.015
T1,2015-05-22,17,F,Achnanthes.minutissima,0.025
T1,2015-05-22,18,F,Achnanthes.minutissima,0.028
T1,2015-05-22,4,FP,Achnanthes.minutissima,0.026
T1,2015-05-22,8,FP,Achnanthes.minutissima,0.000
T1,2015-05-22,19,FP,Achnanthes.minutissima,0.022
T1,2015-05-22,9,S,Achnanthes.minutissima,0.011
T1,2015-05-22,14,S,Achnanthes.minutissima,0.002
T1,2015-05-22,21,S,Achnanthes.minutissima,0.000
T1,2015-05-22,12,SP,Achnanthes.minutissima,0.002
T1,2015-05-22,16,SP,Achnanthes.minutissima,0.000
T1,2015-05-22,24,SP,Achnanthes.minutissima,0.000
T2,2015-08-18,5,F,Achnanthes.minutissima,0.021
T2,2015-08-18,6,F,Achnanthes.minutissima,0.018
T2,2015-08-18,18,F,Achnanthes.minutissima,0.055
T2,2015-08-18,4,FP,Achnanthes.minutissima,0.002
T2,2015-08-18,7,FP,Achnanthes.minutissima,0.011
T2,2015-08-18,19,FP,Achnanthes.minutissima,0.002
T2,2015-08-18,9,S,Achnanthes.minutissima,0.008
T2,2015-08-18,10,S,Achnanthes.minutissima,0.004
T2,2015-08-18,13,S,Achnanthes.minutissima,0.012
T2,2015-08-18,12,SP,Achnanthes.minutissima,0.007
T2,2015-08-18,15,SP,Achnanthes.minutissima,0.000
T2,2015-08-18,24,SP,Achnanthes.minutissima,0.000
T3,2016-02-19,1,F,Achnanthes.minutissima,0.000
T3,2016-02-19,6,F,Achnanthes.minutissima,0.000
T3,2016-02-19,18,F,Achnanthes.minutissima,0.000
T3,2016-02-19,4,FP,Achnanthes.minutissima,0.000
T3,2016-02-19,19,FP,Achnanthes.minutissima,0.004
T3,2016-02-19,9,S,Achnanthes.minutissima,0.000
T3,2016-02-19,13,S,Achnanthes.minutissima,0.000
T3,2016-02-19,21,S,Achnanthes.minutissima,0.000
T3,2016-02-19,12,SP,Achnanthes.minutissima,0.000
T3,2016-02-19,16,SP,Achnanthes.minutissima,0.000
T3,2016-02-19,23,SP,Achnanthes.minutissima,0.000
T4,2016-07-10,1,F,Achnanthes.minutissima,0.000
T4,2016-07-10,6,F,Achnanthes.minutissima,0.004
T4,2016-07-10,18,F,Achnanthes.minutissima,0.002
T4,2016-07-10,8,FP,Achnanthes.minutissima,0.000
T4,2016-07-10,19,FP,Achnanthes.minutissima,0.000
T4,2016-07-10,9,S,Achnanthes.minutissima,0.000
T4,2016-07-10,13,S,Achnanthes.minutissima,0.000
T4,2016-07-10,21,S,Achnanthes.minutissima,0.004
T4,2016-07-10,11,SP,Achnanthes.minutissima,0.000
T4,2016-07-10,16,SP,Achnanthes.minutissima,0.000
T1,2015-05-22,1,F,Achnanthidium..Rossithidium..linearis,0.000
T1,2015-05-22,17,F,Achnanthidium..Rossithidium..linearis,0.000
T1,2015-05-22,18,F,Achnanthidium..Rossithidium..linearis,0.017
T1,2015-05-22,4,FP,Achnanthidium..Rossithidium..linearis,0.000
T1,2015-05-22,8,FP,Achnanthidium..Rossithidium..linearis,0.000
T1,2015-05-22,19,FP,Achnanthidium..Rossithidium..linearis,0.015
T1,2015-05-22,9,S,Achnanthidium..Rossithidium..linearis,0.000
T1,2015-05-22,14,S,Achnanthidium..Rossithidium..linearis,0.000
T1,2015-05-22,21,S,Achnanthidium..Rossithidium..linearis,0.000
T1,2015-05-22,12,SP,Achnanthidium..Rossithidium..linearis,0.000
T1,2015-05-22,16,SP,Achnanthidium..Rossithidium..linearis,0.000
T1,2015-05-22,24,SP,Achnanthidium..Rossithidium..linearis,0.000
T2,2015-08-18,5,F,Achnanthidium..Rossithidium..linearis,0.000
T2,2015-08-18,6,F,Achnanthidium..Rossithidium..linearis,0.000
T2,2015-08-18,18,F,Achnanthidium..Rossithidium..linearis,0.002
T2,2015-08-18,4,FP,Achnanthidium..Rossithidium..linearis,0.000
T2,2015-08-18,7,FP,Achnanthidium..Rossithidium..linearis,0.000
T2,2015-08-18,19,FP,Achnanthidium..Rossithidium..linearis,0.000
T2,2015-08-18,9,S,Achnanthidium..Rossithidium..linearis,0.000
T2,2015-08-18,10,S,Achnanthidium..Rossithidium..linearis,0.000
T2,2015-08-18,13,S,Achnanthidium..Rossithidium..linearis,0.000
T2,2015-08-18,12,SP,Achnanthidium..Rossithidium..linearis,0.000
T2,2015-08-18,15,SP,Achnanthidium..Rossithidium..linearis,0.000
T2,2015-08-18,24,SP,Achnanthidium..Rossithidium..linearis,0.000
T3,2016-02-19,1,F,Achnanthidium..Rossithidium..linearis,0.000
T3,2016-02-19,6,F,Achnanthidium..Rossithidium..linearis,0.000
T3,2016-02-19,18,F,Achnanthidium..Rossithidium..linearis,0.000
T3,2016-02-19,4,FP,Achnanthidium..Rossithidium..linearis,0.000
T3,2016-02-19,19,FP,Achnanthidium..Rossithidium..linearis,0.000
T3,2016-02-19,9,S,Achnanthidium..Rossithidium..linearis,0.000
T3,2016-02-19,13,S,Achnanthidium..Rossithidium..linearis,0.000
T3,2016-02-19,21,S,Achnanthidium..Rossithidium..linearis,0.000
T3,2016-02-19,12,SP,Achnanthidium..Rossithidium..linearis,0.000
T3,2016-02-19,16,SP,Achnanthidium..Rossithidium..linearis,0.000
T3,2016-02-19,23,SP,Achnanthidium..Rossithidium..linearis,0.000
T4,2016-07-10,1,F,Achnanthidium..Rossithidium..linearis,0.000
T4,2016-07-10,6,F,Achnanthidium..Rossithidium..linearis,0.000
T4,2016-07-10,18,F,Achnanthidium..Rossithidium..linearis,0.000
T4,2016-07-10,8,FP,Achnanthidium..Rossithidium..linearis,0.000
T4,2016-07-10,19,FP,Achnanthidium..Rossithidium..linearis,0.000
T4,2016-07-10,9,S,Achnanthidium..Rossithidium..linearis,0.000
T4,2016-07-10,13,S,Achnanthidium..Rossithidium..linearis,0.000
T4,2016-07-10,21,S,Achnanthidium..Rossithidium..linearis,0.000
T4,2016-07-10,11,SP,Achnanthidium..Rossithidium..linearis,0.000
T4,2016-07-10,16,SP,Achnanthidium..Rossithidium..linearis,0.000
T1,2015-05-22,1,F,Amphora.acutiuscula,0.000
T1,2015-05-22,17,F,Amphora.acutiuscula,0.000
T1,2015-05-22,18,F,Amphora.acutiuscula,0.000
T1,2015-05-22,4,FP,Amphora.acutiuscula,0.000
T1,2015-05-22,8,FP,Amphora.acutiuscula,0.000
T1,2015-05-22,19,FP,Amphora.acutiuscula,0.000
T1,2015-05-22,9,S,Amphora.acutiuscula,0.000
T1,2015-05-22,14,S,Amphora.acutiuscula,0.000
T1,2015-05-22,21,S,Amphora.acutiuscula,0.000
T1,2015-05-22,12,SP,Amphora.acutiuscula,0.000
T1,2015-05-22,16,SP,Amphora.acutiuscula,0.000
T1,2015-05-22,24,SP,Amphora.acutiuscula,0.000
T2,2015-08-18,5,F,Amphora.acutiuscula,0.000
T2,2015-08-18,6,F,Amphora.acutiuscula,0.000
T2,2015-08-18,18,F,Amphora.acutiuscula,0.000
T2,2015-08-18,4,FP,Amphora.acutiuscula,0.000
T2,2015-08-18,7,FP,Amphora.acutiuscula,0.000
T2,2015-08-18,19,FP,Amphora.acutiuscula,0.000
T2,2015-08-18,9,S,Amphora.acutiuscula,0.000
T2,2015-08-18,10,S,Amphora.acutiuscula,0.000
T2,2015-08-18,13,S,Amphora.acutiuscula,0.002
T2,2015-08-18,12,SP,Amphora.acutiuscula,0.024
T2,2015-08-18,15,SP,Amphora.acutiuscula,0.004
T2,2015-08-18,24,SP,Amphora.acutiuscula,0.000
T3,2016-02-19,1,F,Amphora.acutiuscula,0.000
T3,2016-02-19,6,F,Amphora.acutiuscula,0.000
T3,2016-02-19,18,F,Amphora.acutiuscula,0.000
T3,2016-02-19,4,FP,Amphora.acutiuscula,0.000
T3,2016-02-19,19,FP,Amphora.acutiuscula,0.000
T3,2016-02-19,9,S,Amphora.acutiuscula,0.000
T3,2016-02-19,13,S,Amphora.acutiuscula,0.000
T3,2016-02-19,21,S,Amphora.acutiuscula,0.000
T3,2016-02-19,12,SP,Amphora.acutiuscula,0.000
T3,2016-02-19,16,SP,Amphora.acutiuscula,0.000
T3,2016-02-19,23,SP,Amphora.acutiuscula,0.004
T4,2016-07-10,1,F,Amphora.acutiuscula,0.000
T4,2016-07-10,6,F,Amphora.acutiuscula,0.000
T4,2016-07-10,18,F,Amphora.acutiuscula,0.000
T4,2016-07-10,8,FP,Amphora.acutiuscula,0.000
T4,2016-07-10,19,FP,Amphora.acutiuscula,0.000
T4,2016-07-10,9,S,Amphora.acutiuscula,0.000
T4,2016-07-10,13,S,Amphora.acutiuscula,0.000
T4,2016-07-10,21,S,Amphora.acutiuscula,0.004
T4,2016-07-10,11,SP,Amphora.acutiuscula,0.000
T4,2016-07-10,16,SP,Amphora.acutiuscula,0.000
T1,2015-05-22,1,F,Amphora.coffeaeformis.aponina,0.000
T1,2015-05-22,17,F,Amphora.coffeaeformis.aponina,0.000
T1,2015-05-22,18,F,Amphora.coffeaeformis.aponina,0.007
T1,2015-05-22,4,FP,Amphora.coffeaeformis.aponina,0.000
T1,2015-05-22,8,FP,Amphora.coffeaeformis.aponina,0.000
T1,2015-05-22,19,FP,Amphora.coffeaeformis.aponina,0.000
T1,2015-05-22,9,S,Amphora.coffeaeformis.aponina,0.004
T1,2015-05-22,14,S,Amphora.coffeaeformis.aponina,0.035
T1,2015-05-22,21,S,Amphora.coffeaeformis.aponina,0.005
T1,2015-05-22,12,SP,Amphora.coffeaeformis.aponina,0.378
T1,2015-05-22,16,SP,Amphora.coffeaeformis.aponina,0.619
T1,2015-05-22,24,SP,Amphora.coffeaeformis.aponina,0.573
T2,2015-08-18,5,F,Amphora.coffeaeformis.aponina,0.000
T2,2015-08-18,6,F,Amphora.coffeaeformis.aponina,0.000
T2,2015-08-18,18,F,Amphora.coffeaeformis.aponina,0.000
T2,2015-08-18,4,FP,Amphora.coffeaeformis.aponina,0.000
T2,2015-08-18,7,FP,Amphora.coffeaeformis.aponina,0.000
T2,2015-08-18,19,FP,Amphora.coffeaeformis.aponina,0.000
T2,2015-08-18,9,S,Amphora.coffeaeformis.aponina,0.085
T2,2015-08-18,10,S,Amphora.coffeaeformis.aponina,0.012
T2,2015-08-18,13,S,Amphora.coffeaeformis.aponina,0.167
T2,2015-08-18,12,SP,Amphora.coffeaeformis.aponina,0.061
T2,2015-08-18,15,SP,Amphora.coffeaeformis.aponina,0.544
T2,2015-08-18,24,SP,Amphora.coffeaeformis.aponina,0.429
T3,2016-02-19,1,F,Amphora.coffeaeformis.aponina,0.000
T3,2016-02-19,6,F,Amphora.coffeaeformis.aponina,0.000
T3,2016-02-19,18,F,Amphora.coffeaeformis.aponina,0.000
T3,2016-02-19,4,FP,Amphora.coffeaeformis.aponina,0.000
T3,2016-02-19,19,FP,Amphora.coffeaeformis.aponina,0.000
T3,2016-02-19,9,S,Amphora.coffeaeformis.aponina,0.085
T3,2016-02-19,13,S,Amphora.coffeaeformis.aponina,0.209
T3,2016-02-19,21,S,Amphora.coffeaeformis.aponina,0.080
T3,2016-02-19,12,SP,Amphora.coffeaeformis.aponina,0.011
T3,2016-02-19,16,SP,Amphora.coffeaeformis.aponina,0.047
T3,2016-02-19,23,SP,Amphora.coffeaeformis.aponina,0.043
T4,2016-07-10,1,F,Amphora.coffeaeformis.aponina,0.000
T4,2016-07-10,6,F,Amphora.coffeaeformis.aponina,0.000
T4,2016-07-10,18,F,Amphora.coffeaeformis.aponina,0.000
T4,2016-07-10,8,FP,Amphora.coffeaeformis.aponina,0.000
T4,2016-07-10,19,FP,Amphora.coffeaeformis.aponina,0.004
T4,2016-07-10,9,S,Amphora.coffeaeformis.aponina,0.015
T4,2016-07-10,13,S,Amphora.coffeaeformis.aponina,0.115
T4,2016-07-10,21,S,Amphora.coffeaeformis.aponina,0.095
T4,2016-07-10,11,SP,Amphora.coffeaeformis.aponina,0.158
T4,2016-07-10,16,SP,Amphora.coffeaeformis.aponina,0.943
T1,2015-05-22,1,F,Amphora.coffeaeformis,0.000
T1,2015-05-22,17,F,Amphora.coffeaeformis,0.000
T1,2015-05-22,18,F,Amphora.coffeaeformis,0.000
T1,2015-05-22,4,FP,Amphora.coffeaeformis,0.000
T1,2015-05-22,8,FP,Amphora.coffeaeformis,0.000
T1,2015-05-22,19,FP,Amphora.coffeaeformis,0.000
T1,2015-05-22,9,S,Amphora.coffeaeformis,0.000
T1,2015-05-22,14,S,Amphora.coffeaeformis,0.008
T1,2015-05-22,21,S,Amphora.coffeaeformis,0.000
T1,2015-05-22,12,SP,Amphora.coffeaeformis,0.004
T1,2015-05-22,16,SP,Amphora.coffeaeformis,0.000
T1,2015-05-22,24,SP,Amphora.coffeaeformis,0.002
T2,2015-08-18,5,F,Amphora.coffeaeformis,0.000
T2,2015-08-18,6,F,Amphora.coffeaeformis,0.000
T2,2015-08-18,18,F,Amphora.coffeaeformis,0.000
T2,2015-08-18,4,FP,Amphora.coffeaeformis,0.000
T2,2015-08-18,7,FP,Amphora.coffeaeformis,0.000
T2,2015-08-18,19,FP,Amphora.coffeaeformis,0.000
T2,2015-08-18,9,S,Amphora.coffeaeformis,0.000
T2,2015-08-18,10,S,Amphora.coffeaeformis,0.000
T2,2015-08-18,13,S,Amphora.coffeaeformis,0.000
T2,2015-08-18,12,SP,Amphora.coffeaeformis,0.000
T2,2015-08-18,15,SP,Amphora.coffeaeformis,0.000
T2,2015-08-18,24,SP,Amphora.coffeaeformis,0.000
T3,2016-02-19,1,F,Amphora.coffeaeformis,0.000
T3,2016-02-19,6,F,Amphora.coffeaeformis,0.000
T3,2016-02-19,18,F,Amphora.coffeaeformis,0.000
T3,2016-02-19,4,FP,Amphora.coffeaeformis,0.000
T3,2016-02-19,19,FP,Amphora.coffeaeformis,0.000
T3,2016-02-19,9,S,Amphora.coffeaeformis,0.000
T3,2016-02-19,13,S,Amphora.coffeaeformis,0.004
T3,2016-02-19,21,S,Amphora.coffeaeformis,0.000
T3,2016-02-19,12,SP,Amphora.coffeaeformis,0.000
T3,2016-02-19,16,SP,Amphora.coffeaeformis,0.000
T3,2016-02-19,23,SP,Amphora.coffeaeformis,0.000
T4,2016-07-10,1,F,Amphora.coffeaeformis,0.000
T4,2016-07-10,6,F,Amphora.coffeaeformis,0.000
T4,2016-07-10,18,F,Amphora.coffeaeformis,0.000
T4,2016-07-10,8,FP,Amphora.coffeaeformis,0.000
T4,2016-07-10,19,FP,Amphora.coffeaeformis,0.004
T4,2016-07-10,9,S,Amphora.coffeaeformis,0.000
T4,2016-07-10,13,S,Amphora.coffeaeformis,0.004
T4,2016-07-10,21,S,Amphora.coffeaeformis,0.004
T4,2016-07-10,11,SP,Amphora.coffeaeformis,0.000
T4,2016-07-10,16,SP,Amphora.coffeaeformis,0.000
T1,2015-05-22,1,F,Amphora.montana,0.000
T1,2015-05-22,17,F,Amphora.montana,0.000
T1,2015-05-22,18,F,Amphora.montana,0.000
T1,2015-05-22,4,FP,Amphora.montana,0.000
T1,2015-05-22,8,FP,Amphora.montana,0.000
T1,2015-05-22,19,FP,Amphora.montana,0.000
T1,2015-05-22,9,S,Amphora.montana,0.000
T1,2015-05-22,14,S,Amphora.montana,0.000
T1,2015-05-22,21,S,Amphora.montana,0.000
T1,2015-05-22,12,SP,Amphora.montana,0.000
T1,2015-05-22,16,SP,Amphora.montana,0.000
T1,2015-05-22,24,SP,Amphora.montana,0.000
T2,2015-08-18,5,F,Amphora.montana,0.000
T2,2015-08-18,6,F,Amphora.montana,0.000
T2,2015-08-18,18,F,Amphora.montana,0.000
T2,2015-08-18,4,FP,Amphora.montana,0.000
T2,2015-08-18,7,FP,Amphora.montana,0.000
T2,2015-08-18,19,FP,Amphora.montana,0.000
T2,2015-08-18,9,S,Amphora.montana,0.000
T2,2015-08-18,10,S,Amphora.montana,0.000
T2,2015-08-18,13,S,Amphora.montana,0.000
T2,2015-08-18,12,SP,Amphora.montana,0.000
T2,2015-08-18,15,SP,Amphora.montana,0.000
T2,2015-08-18,24,SP,Amphora.montana,0.000
T3,2016-02-19,1,F,Amphora.montana,0.000
T3,2016-02-19,6,F,Amphora.montana,0.000
T3,2016-02-19,18,F,Amphora.montana,0.000
T3,2016-02-19,4,FP,Amphora.montana,0.000
T3,2016-02-19,19,FP,Amphora.montana,0.000
T3,2016-02-19,9,S,Amphora.montana,0.000
T3,2016-02-19,13,S,Amphora.montana,0.000
T3,2016-02-19,21,S,Amphora.montana,0.000
T3,2016-02-19,12,SP,Amphora.montana,0.000
T3,2016-02-19,16,SP,Amphora.montana,0.000
T3,2016-02-19,23,SP,Amphora.montana,0.000
T4,2016-07-10,1,F,Amphora.montana,0.000
T4,2016-07-10,6,F,Amphora.montana,0.000
T4,2016-07-10,18,F,Amphora.montana,0.000
T4,2016-07-10,8,FP,Amphora.montana,0.000
T4,2016-07-10,19,FP,Amphora.montana,0.000
T4,2016-07-10,9,S,Amphora.montana,0.000
T4,2016-07-10,13,S,Amphora.montana,0.000
T4,2016-07-10,21,S,Amphora.montana,0.000
T4,2016-07-10,11,SP,Amphora.montana,0.000
T4,2016-07-10,16,SP,Amphora.montana,0.000
T1,2015-05-22,1,F,Amphora.punctata,0.000
T1,2015-05-22,17,F,Amphora.punctata,0.000
T1,2015-05-22,18,F,Amphora.punctata,0.000
T1,2015-05-22,4,FP,Amphora.punctata,0.000
T1,2015-05-22,8,FP,Amphora.punctata,0.000
T1,2015-05-22,19,FP,Amphora.punctata,0.000
T1,2015-05-22,9,S,Amphora.punctata,0.004
T1,2015-05-22,14,S,Amphora.punctata,0.000
T1,2015-05-22,21,S,Amphora.punctata,0.005
T1,2015-05-22,12,SP,Amphora.punctata,0.045
T1,2015-05-22,16,SP,Amphora.punctata,0.049
T1,2015-05-22,24,SP,Amphora.punctata,0.027
T2,2015-08-18,5,F,Amphora.punctata,0.000
T2,2015-08-18,6,F,Amphora.punctata,0.000
T2,2015-08-18,18,F,Amphora.punctata,0.000
T2,2015-08-18,4,FP,Amphora.punctata,0.000
T2,2015-08-18,7,FP,Amphora.punctata,0.000
T2,2015-08-18,19,FP,Amphora.punctata,0.000
T2,2015-08-18,9,S,Amphora.punctata,0.268
T2,2015-08-18,10,S,Amphora.punctata,0.000
T2,2015-08-18,13,S,Amphora.punctata,0.000
T2,2015-08-18,12,SP,Amphora.punctata,0.464
T2,2015-08-18,15,SP,Amphora.punctata,0.114
T2,2015-08-18,24,SP,Amphora.punctata,0.364
T3,2016-02-19,1,F,Amphora.punctata,0.000
T3,2016-02-19,6,F,Amphora.punctata,0.000
T3,2016-02-19,18,F,Amphora.punctata,0.000
T3,2016-02-19,4,FP,Amphora.punctata,0.000
T3,2016-02-19,19,FP,Amphora.punctata,0.000
T3,2016-02-19,9,S,Amphora.punctata,0.000
T3,2016-02-19,13,S,Amphora.punctata,0.038
T3,2016-02-19,21,S,Amphora.punctata,0.023
T3,2016-02-19,12,SP,Amphora.punctata,0.004
T3,2016-02-19,16,SP,Amphora.punctata,0.000
T3,2016-02-19,23,SP,Amphora.punctata,0.004
T4,2016-07-10,1,F,Amphora.punctata,0.000
T4,2016-07-10,6,F,Amphora.punctata,0.000
T4,2016-07-10,18,F,Amphora.punctata,0.000
T4,2016-07-10,8,FP,Amphora.punctata,0.000
T4,2016-07-10,19,FP,Amphora.punctata,0.000
T4,2016-07-10,9,S,Amphora.punctata,0.000
T4,2016-07-10,13,S,Amphora.punctata,0.000
T4,2016-07-10,21,S,Amphora.punctata,0.011
T4,2016-07-10,11,SP,Amphora.punctata,0.000
T4,2016-07-10,16,SP,Amphora.punctata,0.000
T1,2015-05-22,1,F,Amphora.sulcata,0.000
T1,2015-05-22,17,F,Amphora.sulcata,0.000
T1,2015-05-22,18,F,Amphora.sulcata,0.000
T1,2015-05-22,4,FP,Amphora.sulcata,0.000
T1,2015-05-22,8,FP,Amphora.sulcata,0.000
T1,2015-05-22,19,FP,Amphora.sulcata,0.000
T1,2015-05-22,9,S,Amphora.sulcata,0.000
T1,2015-05-22,14,S,Amphora.sulcata,0.008
T1,2015-05-22,21,S,Amphora.sulcata,0.019
T1,2015-05-22,12,SP,Amphora.sulcata,0.107
T1,2015-05-22,16,SP,Amphora.sulcata,0.004
T1,2015-05-22,24,SP,Amphora.sulcata,0.004
T2,2015-08-18,5,F,Amphora.sulcata,0.000
T2,2015-08-18,6,F,Amphora.sulcata,0.000
T2,2015-08-18,18,F,Amphora.sulcata,0.000
T2,2015-08-18,4,FP,Amphora.sulcata,0.000
T2,2015-08-18,7,FP,Amphora.sulcata,0.000
T2,2015-08-18,19,FP,Amphora.sulcata,0.000
T2,2015-08-18,9,S,Amphora.sulcata,0.000
T2,2015-08-18,10,S,Amphora.sulcata,0.142
T2,2015-08-18,13,S,Amphora.sulcata,0.042
T2,2015-08-18,12,SP,Amphora.sulcata,0.195
T2,2015-08-18,15,SP,Amphora.sulcata,0.086
T2,2015-08-18,24,SP,Amphora.sulcata,0.000
T3,2016-02-19,1,F,Amphora.sulcata,0.000
T3,2016-02-19,6,F,Amphora.sulcata,0.000
T3,2016-02-19,18,F,Amphora.sulcata,0.000
