Sample,Date,Site,Chamber,Treatment,TrialID,Achnanthes minutissima,Amphora montana ,Amphora veneta,Amphora coffeaeformis aponina ,Amphora punctata ,Amphora sulcata,Amphora acutiuscula,Brachysira microcephela,Caloneis bacillum,Caponea caribbea,Cyclotella iris,Diploneis oblongella,Diploneis parma,Encyonema evergladianum,Encyonema mesianum,Encyonema silesiacum elegans,Encyonopsis microcephela,Entomoneis cf. paludosa,Envekadea metezeltinii,Envekadea vanlandinghamii,Eunotia flexuosa,Eunotia naegeli,Fragilaria ftsp16,Fragilaria minuscula,Fragilaria nanana,Fragilaria synegrotesca,Gomphonema coronatum,Gomphonema intricatum vibrio,Kobayasiella parasubtilissima,Kobayasiella subtilissima,Mastoglogia pseduosmithii,Mastogloia braunii,Mastogloia calcarea,Mastogloia lanceolata,Navicula bulnheimii,Navicula cryptotenella,Navicula radiosa,Navicula salinicola,Navicula salinarum,Navicula vmsp2,Nitzschia acicularis,Nitzschia amphibia amphibia,Nitzschia ftsp16,Nitzschia lacunarum,Nitzschia nana,Nitzschia palea debilis,Nitzschia serpentiraphe,Nitzschia vmsp4 (curved),Nitzschia microcephela,Planothidium rostratum,Pleurosigma salinarum,Rhopalodia pacifica,Seminavis pusilla,Stauroneis phoenicentron,Stephanocyclus menghiniana,Synedra filiformis exilis,Ulnaria delicatissima,Unknown vmsp2 
T1,Oct-14,OH,13,S,M1BW13S,0,0,0.004,0.044,0.123,0,0,0.095,0.008,0.008,0,0.032,0.002,0,0,0,0,0,0,0.016,0,0,0.048,0,0.004,0.139,0,0.008,0,0,0,0.012,0.143,0.008,0,0.004,0,0.024,0,0,0.004,0,0,0.004,0.036,0.032,0,0.004,0,0,0,0.103,0.036,0,0.012,0.04,0,0
T1,Oct-14,OH,16,S,M1BW16S,0,0.002,0,0.082,0.02,0,0.004,0.061,0.029,0.004,0,0.049,0.004,0,0,0,0,0.002,0.002,0.016,0,0,0.029,0.004,0.008,0.241,0,0.024,0,0,0,0.004,0.245,0.029,0,0,0,0.012,0,0,0,0,0.024,0.002,0.012,0.033,0,0,0,0,0,0.016,0.024,0,0.004,0.002,0,0.004
T2,Nov-14,FW,3,C,M2FW3C,0.018,0,0,0,0,0,0,0.162,0,0,0,0,0.004,0.018,0.051,0.029,0.507,0,0,0,0.015,0.007,0,0,0,0.048,0.004,0.037,0,0,0,0,0,0,0,0.063,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051,0
T2,Nov-14,FW,6,C,M2FW6C,0.008,0,0,0,0,0,0,0.109,0,0,0,0,0,0.008,0.039,0.012,0.516,0,0,0,0.019,0.012,0,0,0,0.047,0,0.062,0.004,0,0,0,0,0.002,0,0.105,0.002,0,0,0,0,0,0.004,0,0,0.008,0,0,0,0,0,0,0.004,0,0,0,0.05,0
T2,Nov-14,FW,8,C,M2FW8C,0.008,0,0,0,0,0,0,0.079,0,0,0,0,0,0.008,0.139,0,0.488,0,0,0,0.008,0.008,0,0,0,0.008,0,0.06,0,0,0,0,0,0,0,0.155,0,0,0,0,0,0,0,0,0.004,0.008,0,0,0,0,0,0,0,0,0,0,0.036,0
T2,Nov-14,FW,13,S,M2FW13S,0.002,0,0,0,0,0,0,0.091,0,0,0,0,0,0.113,0.117,0,0.527,0,0,0,0,0,0,0,0,0.015,0,0.011,0.004,0,0,0,0,0,0,0.102,0,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0.002,0,0,0,0,0
T2,Nov-14,FW,15,S,M2FW15S,0,0,0,0,0,0,0,0.059,0,0,0,0,0.002,0.173,0.137,0,0.408,0,0,0.002,0,0.004,0.002,0,0,0.008,0,0,0.004,0.004,0,0,0.008,0,0,0.125,0,0,0.004,0,0,0,0,0,0,0.051,0.008,0,0,0,0,0,0.002,0,0,0,0,0
T2,Nov-14,FW,16,S,M2FW16S,0.008,0,0,0,0,0,0.006,0.034,0,0,0,0.002,0,0.11,0.093,0,0.503,0,0,0.004,0,0,0,0,0,0.008,0,0.021,0,0.004,0,0,0.021,0.004,0,0.165,0,0,0,0,0,0,0,0,0,0.017,0,0,0.004,0,0,0,0.002,0,0,0,0,0
T2,Nov-14,OH,3,C,M2BW3C,0,0.011,0,0.011,0.056,0,0.004,0.134,0.007,0.004,0,0.041,0.004,0,0,0,0,0.002,0,0.026,0,0,0.097,0.004,0,0.101,0,0.022,0,0,0.007,0.004,0.175,0.022,0,0,0,0.019,0,0,0.007,0,0.011,0,0.022,0.007,0,0.045,0.004,0.006,0,0.026,0.052,0,0.011,0.048,0,0.006
T2,Nov-14,OH,5,C,M2BW5C,0,0.007,0.002,0.004,0.03,0.002,0.007,0.152,0,0.011,0,0.048,0,0.002,0,0,0,0,0.004,0.026,0,0,0.041,0.011,0,0.089,0,0.011,0,0,0.033,0.007,0.23,0.1,0,0,0,0.007,0,0,0,0,0.015,0,0.03,0.033,0,0.002,0.007,0,0,0.002,0.045,0,0.004,0.026,0,0.007
T2,Nov-14,OH,7,C,M2BW7C,0,0,0.002,0,0.022,0.007,0.018,0.212,0.002,0.007,0,0.04,0,0,0,0,0.007,0.007,0,0.144,0,0,0.036,0.014,0,0.05,0,0.018,0,0,0.018,0.011,0.108,0.104,0,0,0,0.007,0,0,0.002,0,0.025,0,0.029,0.04,0,0,0,0,0,0.002,0.022,0,0.025,0.011,0,0.004
T2,Nov-14,OH,12,S,M2BW12S,0,0,0,0.014,0.036,0,0.002,0.071,0,0,0,0.011,0,0,0,0,0,0,0,0.011,0,0,0.036,0.004,0,0.1,0,0.004,0,0,0.057,0.011,0.311,0.154,0,0,0,0.002,0,0,0,0,0.018,0,0.011,0.005,0,0,0.014,0,0,0.005,0.046,0,0.007,0.057,0,0.011
T2,Nov-14,OH,14,S,M2BW14S,0,0,0.004,0.023,0.023,0,0.002,0.104,0,0.002,0,0.023,0.002,0,0,0,0,0.008,0,0.035,0,0,0.077,0.004,0,0.074,0,0.008,0,0,0.031,0.004,0.313,0.104,0,0,0,0.004,0,0,0,0,0.008,0,0.012,0.039,0,0,0,0,0,0.012,0.054,0,0.004,0.019,0,0.004
T2,Nov-14,OH,16,S,M2BW16S,0,0.004,0,0.027,0.019,0.004,0.004,0.08,0.015,0.011,0,0.042,0.004,0,0,0,0,0.027,0,0.046,0,0,0.034,0.008,0,0.11,0,0.019,0,0,0.023,0.015,0.244,0.057,0,0.004,0,0.023,0,0,0,0,0.011,0,0.019,0.038,0,0.002,0.008,0,0,0.046,0.019,0,0.015,0.019,0,0.004
T9,Jun-14,FW,3,C,M9FW3C,0.038,0,0,0,0,0,0,0.105,0,0,0,0,0.019,0.019,0.053,0.008,0.465,0,0,0,0,0.008,0.004,0,0.004,0.113,0,0.038,0.008,0.023,0,0,0,0,0,0.116,0.008,0,0,0,0,0.004,0.004,0,0.004,0.002,0,0,0,0,0,0,0,0,0,0,0,0
T9,Jun-14,FW,6,C,M9FW6C,0.055,0,0,0,0,0,0,0.247,0,0,0,0.004,0.004,0.02,0.055,0.004,0.446,0,0,0,0.004,0,0,0.004,0.008,0.07,0,0.027,0,0.016,0,0,0.027,0,0,0.043,0,0.002,0,0,0,0.008,0,0,0.004,0.008,0,0,0,0,0,0,0,0,0,0,0,0
T9,Jun-14,FW,8,C,M9FW8C,0.033,0,0,0,0.002,0.002,0,0.26,0,0,0,0,0,0.02,0.045,0,0.545,0,0,0,0,0,0,0,0,0.02,0.004,0.02,0,0,0,0,0.012,0,0,0.041,0,0,0,0,0,0,0,0,0.004,0.008,0,0,0,0,0,0,0,0,0.004,0,0,0
T9,Jun-14,FW,11,S,M9FW11S,0.008,0,0,0,0,0,0,0.342,0,0,0,0,0,0.03,0.019,0,0.364,0,0,0,0.004,0.008,0,0,0,0.14,0,0.019,0,0.004,0,0,0.03,0,0,0.011,0,0,0,0,0,0.002,0,0,0.004,0.011,0,0,0,0,0,0,0,0,0.008,0.004,0,0
T9,Jun-14,FW,15,S,M9FW15S,0.017,0,0,0,0,0,0,0.322,0,0,0,0.023,0.004,0.019,0.004,0,0.388,0,0,0,0,0,0,0,0,0.077,0,0.004,0.004,0.015,0,0,0.027,0,0,0.031,0.008,0,0,0,0,0,0,0,0.015,0.019,0,0,0,0,0,0,0,0,0.004,0.015,0,0
T9,Jun-14,FW,16,S,M9FW16S,0.029,0,0,0,0,0,0,0.314,0,0,0.007,0,0.004,0.036,0.014,0,0.296,0,0,0,0,0,0,0,0,0.022,0,0.018,0.004,0.011,0,0,0.022,0,0,0.079,0.004,0,0,0,0,0.002,0,0,0.032,0.112,0,0,0,0,0,0,0.002,0.007,0,0.004,0,0
T9,Jun-14,OH,5,C,M9BW5C,0,0,0.002,0,0.233,0.054,0.038,0.004,0,0.015,0,0.042,0.004,0,0,0,0,0.004,0.002,0.011,0,0,0.088,0.002,0,0.011,0,0,0,0,0,0.002,0.019,0.027,0.015,0,0.004,0.034,0.004,0.004,0.031,0,0.011,0.008,0.002,0.042,0,0.023,0.042,0,0.004,0,0.168,0,0.011,0.015,0,0.004
T9,Jun-14,OH,7,C,M9BW7C,0,0,0.033,0,0.063,0.089,0.052,0.011,0,0.015,0,0.056,0.007,0,0,0,0,0.004,0.019,0.037,0,0,0.048,0.022,0.002,0.004,0,0.004,0,0,0,0.004,0.015,0.022,0.007,0,0,0.026,0.03,0.011,0.004,0,0.015,0.011,0.002,0.045,0,0.007,0.074,0.004,0,0,0.223,0,0.022,0,0,0.004
T9,Jun-14,OH,8,C,M9BW8C,0,0.004,0.023,0.004,0.101,0.035,0.035,0.002,0.004,0.012,0,0.089,0.012,0,0,0,0,0.004,0.031,0.016,0,0,0.074,0.016,0,0.019,0,0,0,0,0,0.004,0.016,0.035,0.012,0,0.004,0.07,0.012,0,0.008,0,0.019,0.008,0.008,0.039,0,0.004,0.12,0.012,0.008,0.004,0.124,0,0,0.008,0,0.008
T9,Jun-14,OH,14,S,M9BW14S,0,0.011,0.047,0.011,0.089,0.129,0.075,0.004,0.004,0.029,0,0.064,0.002,0.004,0,0,0,0.004,0.018,0.004,0,0,0.057,0.007,0,0.011,0,0,0,0,0.004,0,0.021,0.043,0.014,0,0,0.054,0.018,0.018,0,0,0.029,0,0.004,0.075,0,0.007,0.025,0,0.002,0.004,0.093,0,0.004,0.004,0,0.011
T9,Jun-14,OH,15,S,M9BW15S,0,0.007,0.23,0,0.137,0.019,0.026,0.004,0.019,0.015,0,0.115,0.002,0,0,0,0,0,0.011,0.002,0,0,0.082,0.004,0,0.033,0,0,0,0,0.007,0.004,0.056,0.033,0.004,0,0,0.033,0,0,0,0,0.004,0,0,0.015,0,0,0,0,0.002,0.037,0.071,0,0,0,0,0.03
T9,Jun-14,OH,16,S,M9BW16S,0,0.015,0.088,0.007,0.106,0.04,0.059,0.002,0,0.018,0,0.059,0.004,0.002,0,0,0,0,0.077,0.015,0,0,0.055,0.004,0,0.026,0,0.004,0,0,0.018,0.011,0.062,0.033,0,0,0,0.11,0,0,0.007,0,0.004,0,0,0.004,0,0.011,0.007,0.004,0,0.004,0.132,0,0.004,0,0,0.011
Year 1,Oct-15,FW,6,C,Y1FW6C,0,0,0,0,0,0,0,0.086,0,0,0,0,0,0.043,0.016,0.035,0.283,0,0,0,0,0.024,0,0,0.004,0.086,0.004,0.012,0.004,0.004,0,0,0.279,0,0,0.02,0.01,0,0,0,0,0,0,0,0,0.071,0,0,0,0,0,0,0,0,0.004,0,0.004,0
Year 1,Oct-15,FW,8,C,Y1FW8C,0,0,0,0,0,0,0,0.158,0,0,0,0,0.004,0.046,0.002,0.042,0.262,0,0,0,0,0.004,0,0,0,0.081,0,0.015,0,0.004,0,0,0.224,0,0,0.046,0.004,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.008,0
Year 1,Oct-15,FW,10,C,Y1FW10C,0,0,0,0.006,0,0,0,0.08,0.002,0,0,0,0.004,0.032,0.004,0.084,0.372,0,0,0,0,0.004,0.004,0,0,0.092,0,0.012,0,0,0,0,0.192,0.008,0,0.04,0.004,0,0,0,0,0,0,0,0.004,0.04,0.002,0,0,0,0,0,0,0,0,0.008,0.004,0
Year 1,Oct-15,FW,12,S,Y1FW12S,0,0.002,0,0,0,0,0,0.047,0,0,0,0.002,0.004,0.175,0.051,0.035,0.163,0,0,0,0,0,0,0,0,0.012,0,0.023,0,0,0,0,0.233,0.004,0,0.039,0,0,0,0,0,0,0,0,0,0.206,0,0,0,0,0,0.002,0,0,0.002,0,0,0
Year 1,Oct-15,FW,14,S,Y1FW14S,0,0,0,0,0,0,0,0.06,0,0,0.002,0,0,0.155,0.024,0.02,0.06,0,0,0,0,0,0,0.004,0,0.008,0,0.004,0,0.008,0,0,0.378,0,0,0.056,0,0,0,0,0,0,0,0,0,0.215,0.004,0,0,0,0,0,0,0,0,0,0,0
Year 1,Oct-15,FW,16,S,Y1FW16S,0,0,0,0,0,0,0,0.067,0,0,0,0,0,0.18,0.039,0.01,0.149,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0.247,0,0,0.031,0,0.008,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.004,0,0.004,0
Year 1,Oct-15,OH,5,C,Y1BW5C,0,0,0.008,0.004,0.008,0.019,0.008,0,0,0,0.004,0.039,0.008,0.004,0,0,0,0.002,0.016,0.008,0,0,0.21,0.019,0,0.101,0,0.004,0,0,0,0.016,0.019,0.261,0,0,0,0.008,0,0,0,0,0.058,0,0.004,0.023,0,0,0.016,0,0,0.002,0.109,0,0.004,0.012,0,0.008
Year 1,Oct-15,OH,7,C,Y1BW7C,0,0,0.027,0,0.015,0.008,0,0,0,0.008,0,0.077,0.004,0,0,0,0,0,0.035,0.023,0,0,0.212,0.039,0,0.089,0,0.008,0,0,0,0.008,0.008,0.15,0,0,0,0.015,0,0,0.002,0,0.069,0,0.012,0.015,0,0,0.012,0.004,0,0.008,0.092,0,0.023,0.023,0,0.008
Year 1,Oct-15,OH,9,C,Y1BW9C,0,0.004,0,0.015,0.023,0.004,0.008,0,0,0.002,0,0.05,0.002,0,0,0,0,0,0.019,0.039,0,0,0.159,0.027,0,0.077,0,0.008,0,0,0,0.012,0.004,0.116,0.004,0,0,0.015,0.008,0,0,0,0.058,0,0.008,0.054,0,0,0.05,0,0,0.019,0.101,0,0.046,0.031,0,0.031
Year 1,Oct-15,OH,11,S,Y1BW11S,0,0,0.02,0.008,0.02,0.008,0.012,0,0,0,0,0.036,0,0,0,0,0,0.002,0,0.016,0,0,0.134,0.02,0,0.079,0,0.008,0,0,0,0.008,0.02,0.281,0,0,0,0.119,0,0,0,0,0.024,0,0.016,0.008,0,0,0.024,0,0.004,0.02,0.028,0,0.047,0.008,0,0.032
Year 1,Oct-15,OH,13,S,Y1BW13S,0,0.004,0.002,0.008,0.039,0.004,0.016,0,0.002,0,0,0.051,0.008,0,0,0,0,0,0,0.008,0,0,0.11,0.035,0,0.098,0,0.024,0,0,0,0.02,0.008,0.303,0,0,0,0.059,0,0,0.016,0,0,0.039,0.024,0.012,0,0,0,0,0,0.02,0.051,0,0.028,0.004,0,0.008
Year 1,Oct-15,OH,16,S,Y1BW16S,0,0.008,0.012,0.008,0.008,0.024,0.02,0,0.008,0.002,0,0.04,0.004,0,0,0,0,0.002,0.028,0.004,0,0,0.108,0.004,0,0.072,0,0,0,0,0,0.036,0,0.382,0,0,0,0.02,0,0,0.016,0,0,0.02,0.008,0.004,0,0,0.008,0.004,0.004,0.012,0.104,0.024,0,0,0.004,0
